CV_Id,Skills,Designation,Industry,Experience,Institute,Degree
"20134"|"Hiring, Television / Film Producer, Teamwork, Troubleshooting"|"Web Developer"|"Shipping Industry"|"60"|"Banaras Hindu University"|"Bachelor of Dental Surgery - B.D.S."
"16978"|"Computer Systems Analyst, Detail Management, Public Relations, Organizational Management"|"Project Manager"|"Automobile Industry"|"36"|"Jagadguru Sri Shivarathreeswara University"|"Bachelor of Business Administration - B.B.A."
"15691"|"Analytical, Respectful, Knowledge of Current Governmental Affairs"|"Auditor"|"Health Care Industry"|"96"|"Tamil University"|"Bachelor of Physical Education - B.P.Ed."
"16669"|"Media Planner / Buyer, Communication, Retail, State laws, Analytical, Organizational Tasks"|"Training Specialist"|"Rubber Industry"|"144"|"Jawaharlal Institute of Postgraduate Medical Education and Research"|"Doctorate of Medicine - D.M."
"8834"|"Conflict resolution, Software Engineer, Life skills"|"Occupational Therapist"|"Banking Industry"|"180"|"Swami Ramanand Teerth Marathwada University"|"Master of Business Administration - M.B.A."
"2262"|"Beautician, Administrative, Meeting Deadlines, Positive attitude, Esthetician "|"Accounting Manager"|"Poultry Industry"|"120"|"Maharishi Markandeshwar University, Sadopur"|"Master of Fine Arts - MFA / MVA"
"14270"|"Confidentiality, Software Developer, Organizational Management"|"Training Specialist"|"Biscuit Industry"|"240"|"Gujarat Forensic Sciences University"|"Bachelor of Social Work - BSW / B.A. (SW)"
"12569"|"Advising, Underwriter, Technical recruiting"|"Director Business Development"|"Turbine Industry "|"192"|"MGM Institute of Health Sciences"|"Bachelor of Dental Surgery - B.D.S."
"6930"|"Management, Sketching, Maintenance"|"Technician"|"Biotechnology Industry"|"108"|"Jagan Nath University, NCR"|"Bachelor of Engineering / Bachelor of Technology - B.E./B.Tech."
"8948"|"Judgment, Policy Analyst, Counseling, Optician"|"Business Analyst"|"Tobacco Industry"|"132"|"National Institute of Technology, Uttarakhand"|"Master of Science - M.Sc."
"6222"|"Applicant screening, Pre-employment screening, Dental Assistant, Public Relations, Chiropractor "|"Senior Accountant"|"Television Industry "|"24"|"University of Burdwan"|"Master of Chirurgiae - M.Ch."
"11829"|"Goal oriented, Retail Sales, Painter, Independent Action, Creative Thinking, Makeup Artist"|"Design Engineer"|"Poultry Industry"|"48"|"Kameshwar Singh Darbhanga Sanskrit University"|"Bachelor of Fisheries Science - B.F.Sc./ B.Sc. (Fisheries)."
"1705"|"Business Development, Screening Calls, Handling Complaints"|"Occupational Therapist Occupation"|"Diamond Industry"|"48"|"Central Agricultural University"|"Master of Physical Education M.P.Ed. / M.P.E."
"10114"|"Goal Setting, Nursing, Stress management, Inventing New Ideas"|"Product Manager"|"Mining Industry"|"204"|"Jaypee University of Engineering and Technology"|"Master of Architecture - M.Arch."
"10175"|"Networking, Negotiation, Empathy"|"Speech Pathologist Assistant"|"Film Industry"|"132"|"Indus University"|"Bachelor of Architecture - B.Arch"
"8744"|"Dependability, Honest, Collaboration, Critical thinking, Investment Banking Analyst"|"Human Resources Specialist"|"Advertising Industry "|"72"|"Dr. B R Ambedkar National Institute of Technology Jalandhar"|"Doctorate of Medicine - D.M."
"18899"|"Business Manager, Punctuality, Nursing, Screening, Graphic Design, Calculations"|"Engineer"|"Cotton Industry"|"192"|"Rajiv Gandhi University of Health Sciences"|"Bachelor of Physiotherapy - B.P.T."
"413"|"Initiative, Software Engineer, Statistics, Tech Skills Listed by Job, Coaching"|"Physical Therapist Thera"|"IT Industry "|"108"|"ICFAI University, Mizoram"|"Bachelor of Education - B.Ed."
